I_A,DeltaT_K,Qc_W,Qh_W,V_V,PTEC_W,COPc,COPh
7,0,-0.787,1.516,0.1055,0.738,1.067,2.053
7,10,-0.695,1.439,0.1080,0.756,0.919,1.904
7,20,-0.602,1.364,0.1105,0.774,0.778,1.763
7,30,-0.509,1.290,0.1131,0.792,0.644,1.629
7,40,-0.418,1.215,0.1156,0.809,0.516,1.502
8.1,0,-0.84436,1.8304,0.12351,1.0004,0.844,1.830
8.1,10,-0.74795,1.7516,0.12566,1.0179,0.735,1.721
8.1,20,-0.65223,1.6737,0.12786,1.0357,0.630,1.616
8.1,30,-0.55713,1.5964,0.13005,1.0534,0.529,1.516
8.1,40,-0.46246,1.5193,0.13220,1.0708,0.432,1.419
8.3,0,-0.85256,1.8903,0.12686,1.0529,0.810,1.795
8.3,10,-0.75574,1.8109,0.12894,1.0702,0.706,1.692
8.3,20,-0.65958,1.7324,0.13107,1.0879,0.606,1.593
8.3,30,-0.56402,1.6546,0.13319,1.1055,0.510,1.497
8.3,40,-0.46888,1.5769,0.13528,1.1228,0.418,1.404
8.6,0,-0.86249,1.9827,0.13200,1.1352,0.760,1.746
8.6,10,-0.76619,1.9014,0.13390,1.1515,0.665,1.651
8.6,20,-0.66941,1.8220,0.13592,1.1689,0.573,1.559
8.6,30,-0.57320,1.7433,0.13794,1.1863,0.483,1.469
8.6,40,-0.47739,1.6648,0.13993,1.2034,0.397,1.383
