I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,0.0,20,1.1,0.787,0.738,1.525,102.66664677456191,4.40697206980631e-06,1.0663956639566397
7.0,0.0,20,1.2,0.787,0.738,1.525,105.16374456813821,4.277754639458809e-06,1.0663956639566397
7.0,0.0,20,1.3,0.787,0.738,1.525,107.49465184921638,4.163792823221583e-06,1.0663956639566397
7.0,0.0,20,1.4,0.787,0.738,1.525,109.68224258275194,4.062226734616734e-06,1.0663956639566397
7.0,0.0,20,1.5,0.787,0.738,1.525,111.74486049387446,3.970899312276595e-06,1.0663956639566397
7.0,0.0,30,1.1,0.787,0.738,1.525,102.66664677456191,5.01343628212621e-06,1.0663956639566397
7.0,0.0,30,1.2,0.787,0.738,1.525,105.16374456813821,4.8468793769286e-06,1.0663956639566397
7.0,0.0,30,1.3,0.787,0.738,1.525,107.49465184921638,4.701093491572632e-06,1.0663956639566397
7.0,0.0,30,1.4,0.787,0.738,1.525,109.68224258275194,4.572029998549474e-06,1.0663956639566397
7.0,0.0,30,1.5,0.787,0.738,1.525,111.74486049387446,4.456666770718114e-06,1.0663956639566397
7.0,0.0,40,1.1,0.787,0.738,1.525,102.66664677456191,5.813452964072131e-06,1.0663956639566397
7.0,0.0,40,1.2,0.787,0.738,1.525,105.16374456813821,5.5906793855147374e-06,1.0663956639566397
7.0,0.0,40,1.3,0.787,0.738,1.525,107.49465184921638,5.3976069726814635e-06,1.0663956639566397
7.0,0.0,40,1.4,0.787,0.738,1.525,109.68224258275194,5.228155552074808e-06,1.0663956639566397
7.0,0.0,40,1.5,0.787,0.738,1.525,111.74486049387446,5.077849492384794e-06,1.0663956639566397
7.0,2.857142857142857,20,1.1,0.7607142857142857,0.7431428571428571,1.5038571428571428,102.66664677456191,4.3458730659345215e-06,1.0236447520184544
7.0,2.857142857142857,20,1.2,0.7607142857142857,0.7431428571428571,1.5038571428571428,105.16374456813821,4.2184471278297786e-06,1.0236447520184544
7.0,2.857142857142857,20,1.3,0.7607142857142857,0.7431428571428571,1.5038571428571428,107.49465184921638,4.106065297428909e-06,1.0236447520184544
7.0,2.857142857142857,20,1.4,0.7607142857142857,0.7431428571428571,1.5038571428571428,109.68224258275194,4.005907338202375e-06,1.0236447520184544
7.0,2.857142857142857,20,1.5,0.7607142857142857,0.7431428571428571,1.5038571428571428,111.74486049387446,3.915846094645032e-06,1.0236447520184544
7.0,2.857142857142857,30,1.1,0.7607142857142857,0.7431428571428571,1.5038571428571428,102.66664677456191,4.943929156153874e-06,1.0236447520184544
7.0,2.857142857142857,30,1.2,0.7607142857142857,0.7431428571428571,1.5038571428571428,105.16374456813821,4.779681423974462e-06,1.0236447520184544
7.0,2.857142857142857,30,1.3,0.7607142857142857,0.7431428571428571,1.5038571428571428,107.49465184921638,4.6359167387152315e-06,1.0236447520184544
7.0,2.857142857142857,30,1.4,0.7607142857142857,0.7431428571428571,1.5038571428571428,109.68224258275194,4.508642603721809e-06,1.0236447520184544
7.0,2.857142857142857,30,1.5,0.7607142857142857,0.7431428571428571,1.5038571428571428,111.74486049387446,4.394878791133451e-06,1.0236447520184544
7.0,2.857142857142857,40,1.1,0.7607142857142857,0.7431428571428571,1.5038571428571428,102.66664677456191,5.732854271923871e-06,1.0236447520184544
7.0,2.857142857142857,40,1.2,0.7607142857142857,0.7431428571428571,1.5038571428571428,105.16374456813821,5.5131692638232915e-06,1.0236447520184544
